Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,NALGONDA,NALGONDA ,SHERBUNGLOW  SECTOR,2313067,Mutyalamma Colony,119,7,0,124,2,0,119,6,1
2025,8,NALGONDA,NALGONDA ,CHERLAPALLY SECTOR,2312013,Girukalabavigudem-I,53,9,0,60,2,0,49,12,1
2025,8,NALGONDA,NALGONDA ,GOLLAGUDA SECTOR,2313106,RTC colony 2,39,7,2,48,0,0,30,11,7
2025,8,NALGONDA,NALGONDA ,KANGAL  SECTOR,2312063,Budamarlapally,44,2,0,45,1,0,45,1,0
2025,8,NALGONDA,NALGONDA ,KANGAL  SECTOR,2312081,Regatte-I,37,12,1,46,4,0,30,18,2
2025,8,NALGONDA,NALGONDA ,KANGAL  SECTOR,2312256,Lingalagudem,12,5,0,16,1,0,10,5,2
2025,8,RANGAREDDY,SHADNAGAR,Mogiligidda,1418054,Rangampalli,49,4,0,53,0,0,45,6,2
2025,8,NALGONDA,NALGONDA ,PANGAL SECTOR,2313017,Ramakrishnanager,128,10,5,138,4,1,122,14,7
2025,8,RANGAREDDY,SHADNAGAR,Annaram,1418072,Annaram thanda,49,3,2,52,2,0,38,14,2
2025,8,RANGAREDDY,SHADNAGAR,Annaram,1418279,kundelukunta thanda,22,3,0,24,1,0,24,1,0
2025,8,NALGONDA,NALGONDA ,PAJJUR  SECTOR,2312170,Kankanalapally,27,3,1,28,3,0,28,2,1
2025,8,NARAYANPET,NARAYANPET,Agraharpet,1415021,IX Ward-1,55,6,2,58,3,2,34,25,4
2025,8,RANGAREDDY,SHADNAGAR,Nandigam,1418140,IDA Kothur,55,8,3,64,1,1,50,13,3
2025,8,NARAYANPET,NARAYANPET,Agraharpet,1415003,I Ward-3,37,8,1,45,1,0,27,18,1
2025,8,RANGAREDDY,SHADNAGAR,Shadnagar,1418004,Shadnagar 4,133,13,5,140,8,3,135,12,4
2025,8,RANGAREDDY,SHADNAGAR,Shadnagar,1418015,Chatanpalli I,60,4,0,60,4,0,59,5,0
2025,8,RANGAREDDY,SHADNAGAR,Kothur,1418122,Inmulnarva I,147,9,1,151,6,0,155,2,0
2025,8,VIKARABAD,TANDUR,Sangamkalan,1510021,KARANKOTE I,96,0,0,78,18,0,96,0,0
2025,8,SANGAREDDY,SADASIVAPET,Nandikandi,1709033,Nandi Kandi-III,50,9,3,62,0,0,44,11,7
2025,8,SANGAREDDY,SADASIVAPET,Nandikandi,1709114,Mubarakpur - B ,13,0,0,12,1,0,9,3,1
2025,8,SANGAREDDY,SADASIVAPET,Nandikandi,1709148,Nandikandhi - IV ,34,2,0,32,3,1,35,1,0
2025,8,KAMAREDDY,DOMAKONDA,Ambarpet,1805012,Muthyampet-3,86,15,0,99,2,0,94,7,0
2025,8,NARAYANPET,MAKTHAL,Narva,1403108,Jakkanna Pally,23,7,4,31,3,0,16,12,6
2025,8,NALGONDA,MIRYALAGUDA (U),CHILLAPURAM,2307039,Lavoodithanda,17,5,0,17,5,0,20,1,1
2025,8,NAGARKURNOOL,KOLLAPUR,Peddakothhapally,1417182,Nakkalapally,54,12,2,66,2,0,57,8,3
2025,8,YADADRI-BHUVANGIRI,RAMANNAPET (R),Ramannapeta,2315008,Kommaigudem,58,5,1,59,3,2,57,7,0
